trend,turn,vol,n,ret_5d,ret_10d,ret_20d,win_rate_20d
强势空头,very_high,heavy_up,280,1.9,1.51,6.0,61.1
强势空头,very_high,normal,273,0.97,2.23,4.6,61.5
强势多头,very_high,normal,596,1.12,2.4,4.11,57.7
强势空头,normal,heavy_up,28,0.47,-0.99,3.88,57.1
强势多头,very_high,heavy_up,605,1.05,1.12,3.86,51.6
强势多头,high,shrink_down,38,2.74,8.0,3.75,65.8
弱势多头,very_high,heavy_up,402,1.61,1.56,3.21,53.5
多头排列,high,shrink_down,41,1.57,2.29,2.96,58.5
弱势多头,very_high,heavy_down,189,1.42,1.9,2.93,55.0
强势空头,very_high,heavy_down,255,0.64,1.28,2.91,54.9
强势空头,high,heavy_down,56,-0.55,0.3,2.86,50.0
弱势多头,normal,heavy_up,21,-0.03,1.21,2.83,47.6
强势多头,very_high,heavy_down,310,-0.16,0.32,2.74,53.5
强势多头,high,normal,1720,0.42,1.26,2.62,50.1
强势空头,high,normal,1080,0.35,0.44,2.25,54.7
强势空头,low,shrink_down,175,0.16,1.29,2.23,52.0
强势多头,high,heavy_up,88,0.27,0.8,2.22,52.3
弱势多头,very_high,normal,312,1.18,1.53,2.15,54.2
多头排列,very_high,normal,474,1.09,1.7,2.02,55.9
强势空头,normal,normal,2246,0.0,0.61,1.88,53.7
强势空头,low,shrink_up,164,0.29,1.02,1.81,52.4
强势空头,low,normal,1180,0.08,0.72,1.78,50.9
多头排列,very_high,heavy_down,276,-0.04,1.03,1.71,54.0
强势多头,high,shrink_up,29,0.87,4.39,1.68,58.6
强势多头,very_low,shrink_down,171,0.12,0.29,1.58,56.7
强势空头,very_low,shrink_up,420,-0.1,0.13,1.35,47.4
多头排列,high,heavy_up,137,1.26,0.64,1.31,46.7
多头排列,very_high,heavy_up,603,0.92,0.66,1.26,50.9
强势多头,normal,normal,1820,0.27,0.42,1.25,47.0
多头排列,high,normal,1610,0.61,0.92,1.22,51.9
多头排列,normal,shrink_up,298,0.8,1.14,1.21,48.0
弱势多头,high,normal,1239,0.29,0.42,1.15,49.5
弱势多头,very_low,shrink_up,528,0.13,0.61,1.06,49.1
多头排列,very_low,shrink_up,311,0.39,0.36,1.05,50.5
弱势多头,low,normal,1291,0.13,0.58,0.92,48.6
多头排列,low,normal,955,-0.12,0.18,0.9,49.3
多头排列,normal,normal,2732,0.04,0.3,0.87,49.9
弱势多头,normal,shrink_down,204,0.64,0.74,0.85,52.9
强势空头,very_low,normal,329,-0.08,-0.08,0.83,45.9
多头排列,high,shrink_up,35,0.07,3.29,0.78,51.4
弱势多头,normal,normal,2695,0.11,0.39,0.74,48.9
强势空头,very_low,shrink_down,494,0.16,0.57,0.71,47.2
弱势多头,very_low,shrink_down,688,-0.02,0.45,0.67,48.1
弱势多头,high,heavy_up,124,0.01,-0.24,0.63,48.4
强势多头,very_low,shrink_up,109,0.15,0.21,0.47,49.5
弱势多头,low,shrink_up,318,-0.17,0.13,0.47,48.7
弱势多头,high,heavy_down,48,0.07,0.18,0.33,47.9
强势多头,very_low,normal,79,0.53,0.11,0.3,46.8
强势多头,low,shrink_down,136,0.26,0.28,0.29,42.6
强势多头,normal,shrink_up,179,0.96,1.17,0.27,38.0
强势多头,low,normal,510,0.11,0.34,0.23,45.9
强势空头,high,heavy_up,68,0.43,-1.05,0.21,42.6
多头排列,very_low,shrink_down,365,0.39,0.13,0.21,45.8
多头排列,very_low,normal,180,0.22,0.26,0.1,41.7
弱势多头,very_low,normal,312,0.32,0.06,0.05,43.6
多头排列,low,shrink_down,352,0.52,0.1,-0.25,43.2
弱势多头,normal,shrink_up,178,1.15,0.36,-0.27,47.8
弱势多头,low,shrink_down,390,0.42,0.31,-0.48,43.1
强势多头,normal,shrink_down,200,0.37,0.51,-0.59,37.0
强势多头,high,heavy_down,43,1.18,-0.44,-0.62,39.5
多头排列,normal,shrink_down,340,0.91,1.3,-0.63,40.3
多头排列,low,shrink_up,281,-0.05,0.07,-0.73,44.1
强势空头,normal,shrink_down,77,-0.26,-0.55,-1.03,40.3
多头排列,high,heavy_down,70,-0.06,-0.36,-1.45,42.9
强势多头,low,shrink_up,114,-0.36,-0.18,-1.55,48.2
强势空头,normal,shrink_up,46,-0.75,-1.26,-1.86,45.7
弱势多头,high,shrink_down,18,0.58,-0.43,-2.31,38.9
