trend,vol,bias,n,ret_5d,ret_10d,ret_20d,win_rate_20d
强势空头,heavy_up,high_pos,32,3.91,1.96,8.73,59.4
强势多头,heavy_up,low_neg,25,1.83,2.12,6.36,64.0
强势多头,heavy_up,high_pos,83,3.01,1.82,5.97,54.2
强势空头,heavy_up,low_pos,256,1.43,0.7,5.13,58.6
强势空头,heavy_down,low_pos,22,1.48,-0.3,4.92,63.6
弱势多头,heavy_down,high_neg,33,1.79,1.47,4.59,72.7
弱势多头,heavy_up,low_neg,55,0.32,0.01,4.24,72.7
多头排列,heavy_up,low_neg,34,-0.07,0.55,3.9,61.8
弱势多头,heavy_down,low_pos,59,2.23,4.23,3.69,49.2
弱势多头,heavy_up,high_pos,98,2.66,1.82,3.56,56.1
强势多头,heavy_up,low_pos,587,0.61,0.92,3.17,50.6
强势多头,heavy_down,low_neg,150,0.72,1.08,3.09,54.7
强势空头,heavy_down,high_neg,37,2.49,2.29,3.01,59.5
强势空头,heavy_down,low_neg,264,0.02,1.05,2.9,53.0
强势空头,heavy_up,low_neg,88,0.96,0.94,2.37,53.4
强势空头,normal,low_pos,1742,0.48,0.94,2.36,54.2
多头排列,heavy_up,high_pos,128,1.29,0.93,2.18,53.1
弱势多头,heavy_up,low_pos,393,0.95,1.13,2.17,48.3
强势多头,normal,low_pos,2818,0.49,1.22,2.09,49.3
强势多头,normal,low_neg,1889,0.31,0.58,1.86,49.4
强势空头,normal,low_neg,3349,-0.04,0.48,1.83,52.7
多头排列,normal,high_pos,23,2.25,1.51,1.57,56.5
多头排列,heavy_down,low_neg,145,-0.07,0.51,1.49,57.2
强势多头,heavy_down,low_pos,198,-0.75,-0.68,1.49,47.5
多头排列,heavy_down,high_neg,37,1.15,1.65,1.43,54.1
强势空头,shrink_up,low_neg,401,-0.31,0.17,1.28,47.9
多头排列,normal,low_neg,2799,0.17,0.65,1.23,49.7
弱势多头,normal,high_neg,42,0.1,0.48,1.17,54.8
弱势多头,shrink_up,low_pos,483,0.48,0.76,1.16,53.0
多头排列,shrink_up,low_neg,504,0.55,0.46,1.1,48.0
强势空头,shrink_up,low_pos,230,0.38,0.42,1.08,49.1
强势多头,shrink_down,low_neg,396,0.6,1.15,1.06,48.5
弱势多头,normal,low_pos,2704,0.24,0.49,1.03,49.7
多头排列,normal,low_pos,3135,0.36,0.58,1.0,51.6
强势空头,shrink_down,low_pos,155,-0.11,1.06,0.95,51.6
多头排列,heavy_up,low_pos,590,0.98,0.61,0.95,49.2
弱势多头,heavy_down,low_neg,156,0.33,0.18,0.89,50.0
强势空头,shrink_down,low_neg,597,0.17,0.5,0.85,46.2
弱势多头,normal,low_neg,3103,0.2,0.48,0.79,48.2
弱势多头,shrink_down,low_pos,285,-0.01,0.22,0.61,52.3
多头排列,heavy_down,low_pos,168,-0.44,0.58,0.57,45.8
弱势多头,shrink_down,low_neg,1015,0.29,0.51,0.23,45.8
弱势多头,shrink_up,low_neg,545,0.0,0.12,0.19,45.0
强势多头,shrink_up,low_neg,216,0.61,0.59,0.16,43.5
多头排列,shrink_down,low_neg,872,0.72,0.65,-0.07,43.6
多头排列,shrink_up,low_pos,420,0.16,0.84,-0.1,47.6
多头排列,shrink_down,low_pos,225,0.32,0.24,-0.16,44.4
强势多头,shrink_up,low_pos,215,0.18,0.98,-0.29,46.5
强势多头,shrink_down,low_pos,149,-0.03,0.25,-0.58,41.6
